DocText,DocDate,clean_content,emotions
I keep having dreams about climate change.,2021-11-02 17:15:10,keep having dreams about climate change,neutral
400 Private jets for a meet about climate change. Fantastic.,2021-11-02 17:13:48,Private jets meet about climate change Fantastic,other
Alls I can say is; THANK **** FOR FOOTBALL. Especially with all this climate change **** #tippingpoint,2021-11-02 16:44:51,Alls THANK FOOTBALL Especially with this climate change tippingpoint,happiness
I see the Iona's Mr. Quinn is now a world class scientist. Well he seems to think so anyway with his posts about climate change.,2021-11-02 15:34:43,Iona Quinn world class scientist Well seems think anyway with posts about climate change,sadness
Who the **** is Great Thunberg and why the **** is someone who is shorter than 5 feet have such a big platform on climate change. Like the **** my climate is totally different than yours. 6-foot gang chillin only change we need is taller tree branches and more leg room on planes.,2021-11-02 15:34:29,Great Thunberg someone shorter than feet have such platform climate change Like climate totally different than yours foot gang chillin only change need taller tree branches more room planes,sadness
"Huge thank you, @vanessa_vash and Mary Robinson, for kicking off the “Mobilising the Rule of Law in Climate Change” #COP26 side event earlier today. @vanessa_vash drove home that we must keep fossil fuels in the ground, truly discuss loss and damage, and act now. #ClimateCrisis",2021-11-02 15:34:22,Huge thank vanessa_vash Mary Robinson kicking Mobilising Rule Climate Change COP26 side event earlier today vanessa_vash drove home that must keep fossil fuels ground truly discuss loss damage ClimateCrisis,sadness
"#Modi is giving wonderful bhashans about #environment protection, #climatechange in #Glasgow, meanwhile his party general secretary @CTRavi_BJP,  @KapilMishra_IND etc are saying we will burst more #firecrackers,we will create more #AirPollution 😌😌   #climate #COP26 #india",2021-11-02 15:33:56,Modi giving wonderful bhashans about environment protection climatechange Glasgow meanwhile party general secretary CTRavi_BJP KapilMishra_IND saying will burst more firecrackers will create more AirPollution climate COP26 india,worry
"Amazing talks so far in the ""Transgression and other climate change-driven shifts in coastal landscapes."" #CERF2021",2021-11-02 14:48:19,Amazing talks Transgression other climate change driven shifts coastal landscapes CERF2021,love
"Our director, @ScottSegerstrom, is speaking w/@TheEconomist tomorrow on #ColoradoClimateCorps, conservation corps, and climate change. Funded by @ServeColorado + @AmeriCorps, this program will transform Colorado's lives and landscapes. Thank YOU to the partners who engage corps!",2021-11-02 14:44:20,director ScottSegerstrom speaking TheEconomist tomorrow ColoradoClimateCorps conservation corps climate change Funded ServeColorado AmeriCorps this program will transform Colorado lives landscapes Thank partners engage corps,worry
"Stop blaiming ordinary people for climate change! Offer us realistic options for sustainable travel, reduce packaging, support sustainable energy providers, etc.  We’ll make good choices so the world is a good place for our kids as well!#COP26",2021-11-02 14:13:00,Stop blaiming ordinary people climate change Offer realistic options sustainable travel reduce packaging support sustainable energy providers make good choices world good place kids well COP26,worry
Great #climatesmart panel this am on #climatechange #climateadaptation organized by @toendhunger @FAOclimate @IFAD Thanks for your participation @CortevaUS @corteva,2021-11-02 13:58:16,Great climatesmart panel this climatechange climateadaptation organized toendhunger FAOclimate IFAD Thanks your participation CortevaUS corteva,happiness
Let's recap how Joe's trip to Europe is going? His accomplishments so far:  1. **** on himself in mtg with Pope. 2. Fell asleep during Climate Change Summit.   So much for Climate Change being an existential threat to our planet.  #PoopyPantsBiden  #LetsGoBrandon  #JoeBiden,2021-11-02 13:50:33,recap trip Europe going accomplishments himself with Pope Fell asleep during Climate Change Summit much Climate Change being existential threat planet PoopyPantsBiden LetsGoBrandon JoeBiden,worry
"Fantastic visit to @Techniquest this morning, great to see the new exhibits and discuss some ideas for climate change and green skills projects. Thanks @KirkpatrickLes1",2021-11-02 12:58:00,Fantastic visit Techniquest this morning great exhibits discuss some ideas climate change green skills projects Thanks KirkpatrickLes1,neutral
"I pray to the spirits &amp; ask them to bless, guide &amp; protect all our brothers &amp; sisters who are fighting to protect &amp; heal our Mother Earth 🌎. Thank you all ❤️. #ClimateChange #COP26",2021-11-02 12:50:31,pray spirits them bless guide protect brothers sisters fighting protect heal Mother Earth Thank ClimateChange COP26,sadness
Definitely a drought. People can keep taking climate change as a joke. I honestly think that's what's going to take out humans.,2021-11-02 12:48:24,Definitely drought People keep taking climate change joke honestly think that what going take humans,worry
"A great start to this year’s fantastic #UKCPA21 conference. After such a comprehensive update on COVID treatments, next at 13:10 is the very much awaited session - the impact of climate change on clinical pharmacy by @TLyons00 @BednallRuth @UKCPA #UKCPA2021..staying tuned!!",2021-11-02 12:39:35,great start this year fantastic UKCPA21 conference After such comprehensive update COVID treatments next very much awaited session impact climate change clinical pharmacy TLyons00 BednallRuth UKCPA UKCPA2021 staying tuned,love
"This year’s United Nations summit is seen as crucial. Severe impacts of climate change, like extreme weather events, are worsening faster than expected as the world quickly warms toward the Paris Agreement's temperature targets",2021-11-02 11:52:25,This year United Nations summit seen crucial Severe impacts climate change like extreme weather events worsening faster than expected world quickly warms toward Paris Agreement temperature targets,love
🌿💮Environmentalist🌲 🌏climate change enthusiast🗻🏞🏜 🌄🌅🌋🏔🏝 intrigued by mother nature 🌏 The best engineering that has ever been created 💯,2021-11-02 11:20:09,Environmentalist climate change enthusiast intrigued mother nature best engineering that ever been created,surprise
PM’s commitment to a carbon neutral India by 2070 is as good as saying we will wipe out poverty by 2090 if all goes well…  #ClimateChange #ClimateCrisis #ClimateAction,2021-11-02 10:27:32,commitment carbon neutral India 2070 good saying will wipe poverty 2090 goes well ClimateChange ClimateCrisis ClimateAction,worry
"Climate Change Diplomacy has been good for Zimbabwe . Inside the  walkabouts, exchange of greetings &amp; hospitality gestures ,  requests are made for further engagement . Dialogue is superior and more productive than standoffs for everyone .",2021-11-02 10:25:56,Climate Change Diplomacy been good Zimbabwe Inside walkabouts exchange greetings hospitality gestures requests made further engagement Dialogue superior more productive than standoffs everyone,love
"SteamDrills -If there's one more acre of love in this world, it's because of the pioneers of the heart, thank you. #ClimateChange",2021-11-02 09:20:08,SteamDrills there more acre love this world because pioneers heart thank ClimateChange,love
Big influx of horny climate change people on the dating apps this week,2021-11-02 09:01:15,influx horny climate change people dating apps this week,neutral
"Has any Small Modular #Nuclear Reactor #SMR been deployed so far, anywhere around the world?  Topics: #globalwarming #climatechange #carbonneutral  #decarbonization #COP26",2021-11-02 08:19:25,Small Modular Nuclear Reactor been deployed anywhere around world Topics globalwarming climatechange carbonneutral decarbonization COP26,happiness
"Where on #Twitter are the most effective solutions to #climatechange? That is, accounting for high intrinsic effectiveness of CO2 emission reduction as well as minimal systemic effects like rebound &amp; leakage. Relevant for #COP26 participants. Share your knowledge!",2021-11-02 08:15:37,Where Twitter most effective solutions climatechange That accounting high intrinsic effectiveness emission reduction well minimal systemic effects like rebound leakage Relevant COP26 participants Share your knowledge,neutral
"This climate change plan,starting in 2030 sounds very much like my Gym plan. ‘I’ll start monday’.",2021-11-02 07:12:12,This climate change plan starting 2030 sounds very much like plan start monday,hate
"Mai is the best Caribbean leader i have seen so far. Powerful, articulate, brilliant and brave. She no fraid to take on no body. Big up mi G. Real general#codered#climatechange",2021-11-02 05:50:03,best Caribbean leader have seen Powerful articulate brilliant brave fraid take body Real general codered climatechange,happiness
The Panchamrit formula given by PM is excellent &amp; have much importance for countries like us. Agriculture &amp; Human health are most affected area by climate change &amp; environmental depletion. Clean environment &amp; sustainable ecosystem can lead us to prosperity.,2021-11-02 05:09:32,Panchamrit formula given excellent have much importance countries like Agriculture Human health most affected area climate change environmental depletion Clean environment sustainable ecosystem lead prosperity,neutral
".@SamsungSupport Thanks for going 100% renewable in the U.S., Europe, and China! Climate change is here, and we need more bold corporate actions like this. Keep it up!",2021-11-02 05:08:56,SamsungSupport Thanks going renewable Europe China Climate change here need more bold corporate actions like this Keep,worry
AQI: 50 Advisory:- Good day for outdoor activities  #ClimateChange #PlantATree #AirQuality #environment #Healthy #Future #Children,2021-11-02 04:00:25,Advisory Good outdoor activities ClimateChange PlantATree AirQuality environment Healthy Future Children,worry
Nuclear war is by far a greater threat than climate change.,2021-11-02 03:49:47,Nuclear greater threat than climate change,neutral
Bitches love climate change,2021-11-02 02:20:35,Bitches love climate change,love
"Climate change: Is Greta Thunberg right about UK carbon emissions?   Is she right?  Ask her programmers!  Greta is totally uneducated in climate sciences.  She is a puppet on a string for an unnamed world order group.  She is a good performer and now memorizes her scripts, mostly",2021-11-02 02:16:54,Climate change Greta Thunberg right about carbon emissions right programmers Greta totally uneducated climate sciences puppet string unnamed world order group good performer memorizes scripts mostly,worry
Thank you #MGBookChat for all the great book selections with a #climatechange focus. #sd36tl #sd36learn,2021-11-02 02:02:47,Thank MGBookChat great book selections with climatechange focus sd36tl sd36learn,happiness
"So **** for brains Joey B has pooped his pants, fallen asleep during the climate change summit and emitted tons of carbon gas with his huge overboard motorcade and calls himself Jill's husband while he has been in Europe..great job you clown 🤡 what next Joe",2021-11-02 01:26:53,brains Joey pooped pants fallen asleep during climate change summit emitted tons carbon with huge overboard motorcade calls himself Jill husband while been Europe great clown what next,neutral
"Excellent talk on climate change by Dr. Adam Rosenblatt @roseadam for the Jax Sierra Club, informative and engaging. Also an excellent question-answerer, treating all comers with respect and replying with substance. Hooray for your service to the world and good grace.",2021-11-02 01:02:06,Excellent talk climate change Adam Rosenblatt roseadam Sierra Club informative engaging Also excellent question answerer treating comers with respect replying with substance Hooray your service world good grace,happiness
"A world where we address climate change is a better world! It’s filled with people with great jobs, cities integrated with nature, pristine areas teeming with wildlife, clean air for our children to breathe, physical &amp; mental well-being! #climatevision #ClimateJustice",2021-11-02 00:55:42,world where address climate change better world filled with people with great jobs cities integrated with nature pristine areas teeming with wildlife clean children breathe physical mental well being climatevision ClimateJustice,neutral
"I love when people are like ""if the CLIMATE is CHANGING... then WHY is it COLDER!!!"" and im like...  dude  its called ""Climate change"" for a reason",2021-11-02 00:37:11,love when people like CLIMATE CHANGING then COLDER like dude called Climate change reason,neutral
How typical of Doris Johnson to pontificate about tackling climate change as an emergency whilst only last week lowering tax on air fares. Hypocrisy at it's excellent best.,2021-11-01 23:49:13,typical Doris Johnson pontificate about tackling climate change emergency whilst only last week lowering fares Hypocrisy excellent best,neutral
I’m very impressed on how PM Davis tackling climate change with the big dogs,2021-11-01 23:40:25,very impressed Davis tackling climate change with dogs,sadness
"So appreciating the climate change education from our local, trusted meteorologists! Thank you, @CecilyTynan !!",2021-11-01 22:24:58,appreciating climate change education from local trusted meteorologists Thank CecilyTynan,neutral
Is 'climate change' becoming weaponized?  Who will suffer the least? Those countries with great land masses? Densely populated islands like UK are in great peril. Boris/Charles et al are aware of it. So is Putin and Xi Jinping.,2021-11-01 22:05:30,climate change becoming weaponized will suffer least Those countries with great land masses Densely populated islands like great peril Boris Charles aware Putin Jinping,love
Capitalism drives climate change. We need revolution. We need communism. Capitalism is the great destroyer.,2021-11-01 21:54:09,Capitalism drives climate change need revolution need communism Capitalism great destroyer,worry
"How wonderful the #ClimateChange story crossovers @Hollyoaks  @itvcorrie  @emmerdale  @bbceastenders  important messages,",2021-11-01 21:50:43,wonderful ClimateChange story crossovers Hollyoaks itvcorrie emmerdale bbceastenders important messages,neutral
The Biden Administration gave a waiver to “Climate Change” so we can have a normal winter. Amazing how long the fake “Climate Crisis” has lasted. 😎#ClimateCrisis #COP26 #ClimateHypocrisy,2021-11-01 21:36:22,Biden Administration gave waiver Climate Change have normal winter Amazing long fake Climate Crisis lasted ClimateCrisis COP26 ClimateHypocrisy,surprise
"Justin Trudeau is arguably the best actor this world has ever seen. He just acts like he cares about climate change and Indigenous people, and people actually believe him.  Credit where it's due.",2021-11-01 21:27:30,Justin Trudeau arguably best actor this world ever seen just acts like cares about climate change Indigenous people people actually believe Credit where,love
"The media has let us down badly over the years on climate change, as it influences how people vote, and ultimately policy. But it is very heartening to see so much critical coverage across all the big broadcasters. A game changer🤞. Kudos @rtenews @BBCNews @Channel4News @SkyNews",2021-11-01 21:10:12,media down badly over years climate change influences people vote ultimately policy very heartening much critical coverage across broadcasters game changer Kudos rtenews BBCNews Channel4News SkyNews,sadness
Climate Change is so incredible.   It can selectively target and cripe one airline at a time. 🤔,2021-11-01 21:05:37,Climate Change incredible selectively target cripe airline time,sadness
"GOOD EVENING FRIENDS AROUND THE WORLD 🌎✨GENTLE RAMBLER PRESENTS: BENEATH the SURFACE Episode 27 interview with @TurboKitty Co chairwoman of Nevada Green Party discusses abortion, climate change and more ENJOY. Also SPECIAL GUEST APPEARANCE ON @Jaybefaunt Show Solidarity🎧📢🎙",2021-11-01 21:01:18,GOOD EVENING FRIENDS AROUND WORLD GENTLE RAMBLER PRESENTS BENEATH SURFACE Episode interview with TurboKitty chairwoman Nevada Green Party discusses abortion climate change more ENJOY Also SPECIAL GUEST APPEARANCE Jaybefaunt Show Solidarity,happiness
- Biden falling asleep - Peak mask theatre (many disposable masks too of course) - Everyone arriving via private jet/gas guzzling car - Archbishop of Canterbury making a bizarre  comparison between Nazis and climate change  #COP26's going well so far!,2021-11-01 20:41:22,Biden falling asleep Peak mask theatre many disposable masks course Everyone arriving private guzzling Archbishop Canterbury making bizarre comparison between Nazis climate change COP26 going well,neutral
"HMU for the best Academic service Final paper √PowerPoint Computer science √environmental issues Sociology, history √discussion posts Thesis √reflections √biology √Essays √ climate change √Case study √Homework √Online course  dm for assistance @EssayProWriter",2021-11-01 20:35:03,best Academic service Final paper PowerPoint Computer science environmental issues Sociology history discussion posts Thesis reflections biology Essays climate change Case study Homework Online course assistance EssayProWriter,hate
.@janschakowsky I'm a voter in Arlington Heights. Regenerative agriculture can reverse global warming with best practices in farming and ranching! Nature has the best solutions to climate change. Please incorporate regenerative principles into ALL new ag bills!,2021-11-01 20:26:07,janschakowsky voter Arlington Heights Regenerative agriculture reverse global warming with best practices farming ranching Nature best solutions climate change Please incorporate regenerative principles into bills,neutral
The single best way to fight climate change is to be vegan. Its really simple.  #climate #ClimateEmergency #COP26 #climatechange #GoVegan #Vegan,2021-11-01 20:20:27,single best fight climate change vegan really simple climate ClimateEmergency COP26 climatechange GoVegan Vegan,happiness
2021 November. The great Rhetoric of Everything. Climate Change gallops across the stage like a run away Horse headed for the steep Cliff of Disaster.,2021-11-01 20:14:27,2021 November great Rhetoric Everything Climate Change gallops across stage like away Horse headed steep Cliff Disaster,neutral
"I really recommend people watch a wonderful series with @AdeAdepitan on the BBC, where he visited those already losing their homes, their food sources, entire islands etc, due to climate change. 1/2",2021-11-01 19:58:56,really recommend people watch wonderful series with AdeAdepitan where visited those already losing their homes their food sources entire islands climate change,worry
"In the @australian today: Powerful Morrison sinks Macron It was Biden's fault, all of it Morrison's stirring address on climate change Best Plan ever Gladys is great, scrap ICAC",2021-11-01 19:54:20,australian today Powerful Morrison sinks Macron Biden fault Morrison stirring address climate change Best Plan ever Gladys great scrap ICAC,happiness
Channel 4 news is streets ahead of any other news organisation.  The report tonight on climate change is  really well researched and informed. #ch4news,2021-11-01 19:47:35,Channel news streets ahead other news organisation report tonight climate change really well researched informed ch4news,sadness
"Climate change activism is like when the hobbits ask ents for help, only once the ents see the devastation they just keep meeting.  Oh, and the ents are in league with Saruman.",2021-11-01 19:21:07,Climate change activism like when hobbits ents help only once ents devastation they just keep meeting ents league with Saruman,other
"#COP26 #COP26Glasgow #Cop26ClimateAction ....saving the planet💯 enough of the burnings|pollution|hunger|drought|floods|climate change with so much unpredictability. Perfect, incredible coverage @ZeynWandati  you're one of the reliables on this global conference👏 @ntvkenya",2021-11-01 18:34:21,COP26 COP26Glasgow Cop26ClimateAction saving planet enough burnings pollution hunger drought floods climate change with much unpredictability Perfect incredible coverage ZeynWandati reliables this global conference ntvkenya,happiness
given that one day of Allah is worth 1000 years of those which you count. So one year will definitely worth 360000 of those which you count. Imam Nasser Mohammed Al-Yamani 14-10-2021 102 #Torment_Planet_Has_Neared  COP26 climatechange Sleepy Joe Climate Emergency nAMVgx,2021-11-01 18:24:46,given that Allah worth 1000 years those which count year will definitely worth 360000 those which count Imam Nasser Mohammed Yamani 2021 Torment_Planet_Has_Neared COP26 climatechange Sleepy Climate Emergency nAMVgx,neutral
Work leaders really threw some coins into a wishing well and hoped for the best with climate change. I hate it all!,2021-11-01 18:18:30,Work leaders really threw some coins into wishing well hoped best with climate change hate,sadness
If climate change is real then why is the temperature today perfect and there are a perfect amount of clouds out?,2021-11-01 17:56:57,climate change real then temperature today perfect there perfect amount clouds,other
So far...haven't really seen anything new and ground breaking coming out of #COP26. Because we perpetuate the systems and axis of power that caused climate change in the first place.   Really think we need to consider #degrowth as radically as possible. It's tough..love.,2021-11-01 17:47:55,haven really seen anything ground breaking coming COP26 Because perpetuate systems axis power that caused climate change first place Really think need consider degrowth radically possible tough love,surprise
"Good grief, bore off with your climate change agenda🙄 #thechase",2021-11-01 17:45:58,Good grief bore with your climate change agenda thechase,neutral
".@Kohls Thank you for your commitment to carbon neutrality! Climate change is here, and we need bold corporate action like this. Keep up the good work!",2021-11-01 17:03:29,Kohls Thank your commitment carbon neutrality Climate change here need bold corporate action like this Keep good work,love
As these climate change worshippers convene let’s ask a simple question. How often have the scientists been wrong during Covid? Are we really going to wreck our economy over more unproven and likely politically motivated “science”?,2021-11-01 16:31:01,these climate change worshippers convene simple question often have scientists been wrong during Covid really going wreck economy over more unproven likely politically motivated science,sadness
"Climate change, Brexit, COVID, homelessness, food banks, NHS, Sewage dumping, child poverty, job security, wages, pensions, fuels poverty, OMG it’s all looking very very dodgy!!!",2021-11-01 16:11:47,Climate change Brexit COVID homelessness food banks Sewage dumping child poverty security wages pensions fuels poverty looking very very dodgy,worry
Replying to @YUGALJOSHI @HartleyKris @gdhoj @maheshwarigupt2 Many thanks for kind comments on our book #Water Security under #ClimateChange. Very much appreciated @CtortajadaQ @UofGSocSci #UofGCOP26 @WRDWaterMatters @TheWaterCentre,2021-11-01 16:08:26,Replying YUGALJOSHI HartleyKris gdhoj maheshwarigupt2 Many thanks kind comments book Water Security under ClimateChange Very much appreciated CtortajadaQ UofGSocSci UofGCOP26 WRDWaterMatters TheWaterCentre,fun
It’s great that the world leaders are discussing #climatechange so seriously. This way we can buy plastic accessories and single use costumes for #Halloween for many more years to come.  #HappyHalloween  #halloween2021 #COP26Glasgow,2021-11-01 16:06:45,great that world leaders discussing climatechange seriously This plastic accessories single costumes Halloween many more years come HappyHalloween halloween2021 COP26Glasgow,fun
I love that @CBCNews @RadioCanadaInfo has decided to cover ongoing climate change. Feels like a new commitment. @cathmckenna have you heard this before?,2021-11-01 16:01:13,love that CBCNews RadioCanadaInfo decided cover ongoing climate change Feels like commitment cathmckenna have heard this before,worry
Listening to some of the speeches coming out of the climate change conference this great reset stuff is getting very real very quickly,2021-11-01 15:16:48,Listening some speeches coming climate change conference this great reset stuff getting very real very quickly,happiness
Thank you @MichaelEMann for Zooming into my Global Climate Change class today for a wonderful Q&amp;A session. @SUNYSFLK,2021-11-01 15:14:38,Thank MichaelEMann Zooming into Global Climate Change class today wonderful session SUNYSFLK,happiness
Great big horses ****! Wind baw. #WindBaw  climate change politician bs gives off more gas than my aunt Fanny.,2021-11-01 14:57:01,Great horses Wind WindBaw climate change politician gives more than aunt Fanny,love
👀📺Keep an eye out on @ITVCentral 6-6.30pm today for our very own @wizpa commenting from #Glasgow #COP26 following her successful 280 mile #climate #cycle! 🚲  She's attending the #Conference as an #Observer all week too! 👓  #climatechange #lowcarbon,2021-11-01 14:54:29,Keep ITVCentral 30pm today very wizpa commenting from Glasgow COP26 following successful mile climate cycle attending Conference Observer week climatechange lowcarbon,other
"Riding your bike in North Dakota, instead of motoring around polluting the air, will greatly reduce pollutants in the air, Climate change is real, so let's do something about it, this tweet would like to thank our proud supporter, EcoOps",2021-11-01 14:43:37,Riding your bike North Dakota instead motoring around polluting will greatly reduce pollutants Climate change real something about this tweet would like thank proud supporter EcoOps,happiness
"LIVE NOW || Michelle Kalamandeen @Cambridge_Uni discusses the challenges various communities face worldwide such as managing land and agriculture, as well as dealing directly with climate change.  #ThePowerOfPlace #ClimateChange #COP26",2021-11-01 14:40:38,LIVE Michelle Kalamandeen Cambridge_Uni discusses challenges various communities face worldwide such managing land agriculture well dealing directly with climate change ThePowerOfPlace ClimateChange COP26,other
"Anyone considered FART, and its impact on climate change? #COP26",2021-11-01 14:39:51,Anyone considered FART impact climate change COP26,neutral
What govt is really doing for #climatechange ? Other than using taxpayers money ? . #ban firecrackers 🧨. #antinatalism #efilism,2021-11-01 14:20:19,What govt really doing climatechange Other than using taxpayers money firecrackers antinatalism efilism,surprise
World leaders really tossed a good luck coin to fight climate change? How is my writing supposed to top this?,2021-11-01 14:06:55,World leaders really tossed good luck coin fight climate change writing supposed this,worry
Anyone else feel like this climate change stuff is a load of nonsense?,2021-11-01 13:53:21,Anyone else feel like this climate change stuff load nonsense,sadness
This gentleman has been observing #climatechange for 35 years.  I highly recommend you check out his Twitter account  @EcoSenseNow and learn about our #ClimateEmergency,2021-11-01 13:46:53,This gentleman been observing climatechange years highly recommend check Twitter account EcoSenseNow learn about ClimateEmergency,surprise
"First stop on Nanook's #BookTour during .@COP26 with @LoveBooksGroup 🐾🌍  ""This little book was great to open up a conversation with my 8 year old about climate change. She liked Nanook's character alot... Overall a good informative read 😀"" - Melissa, Craft and Book Junkie NI",2021-11-01 13:41:07,First stop Nanook BookTour during COP26 with LoveBooksGroup This little book great open conversation with year about climate change liked Nanook character alot Overall good informative read Melissa Craft Book Junkie,happiness
"Sir David Attenborough has fucking nailed it. That's what you call environmental passion, warnings and a vision of hope over doom to tackle climate change. Amazing. #COP26",2021-11-01 13:18:35,David Attenborough fucking nailed That what call environmental passion warnings vision hope over doom tackle climate change Amazing COP26,neutral
"I think the city of Glasgow hosting #COP26 is truly amazing for the country of Scotland. I truly hope, it brings real change to the planet and helps fight the cause of climate change. I hope Glasgow can make amazing history during #COP26 #COP26Glasow #PeopleMakeGlasgow",2021-11-01 13:17:51,think city Glasgow hosting COP26 truly amazing country Scotland truly hope brings real change planet helps fight cause climate change hope Glasgow make amazing history during COP26 COP26Glasow PeopleMakeGlasgow,love
Starting a conversation about climate change is the best way to begin a journey of moving towards a green life.,2021-11-01 13:17:40,Starting conversation about climate change best begin journey moving towards green life,worry
"Love the subtle periphrasis of @RndmForestRunnr at COP26...  'To give anything less than our best...'  A very different context, equally relevant to climate change as it is to running #COP26",2021-11-01 13:02:25,Love subtle periphrasis RndmForestRunnr COP26 give anything less than best very different context equally relevant climate change running COP26,love
Like the climate cares how much Tory on #politicslive spins UK record on #climatechange.,2021-11-01 12:32:31,Like climate cares much Tory politicslive spins record climatechange,worry
Anyone else wander what the carbon emmissions totals are for 25k people descending on Glasgow? #climatechange,2021-11-01 12:25:54,Anyone else wander what carbon emmissions totals people descending Glasgow climatechange,worry
